timestamps,TP9,AF7,AF8,TP10,Right AUX
1700209055.511,-15.625,-39.062,-22.949,-27.344,0.000
1700209055.515,-49.316,-40.527,-27.832,-42.480,0.000
1700209055.519,-44.922,-45.898,-22.461,-35.156,0.000
1700209055.523,-5.371,-40.527,-20.508,-15.625,0.000
1700209055.527,-2.930,-35.645,-20.996,-17.090,0.000
1700209055.531,-49.805,-42.969,-17.090,-44.922,0.000
1700209055.535,-49.316,-43.457,-20.508,-49.805,0.000
1700209055.539,6.348,-33.203,-15.625,-9.277,0.000
1700209055.543,16.113,-40.527,-6.836,2.930,0.000
1700209055.546,-14.160,-46.875,-13.672,-16.113,0.000
1700209055.550,-45.410,-34.180,-14.160,-24.414,0.000
1700209055.554,-25.879,-34.180,-19.043,-16.602,0.000
1700209055.558,7.812,-36.133,-28.320,-9.766,0.000
1700209055.562,-20.020,-29.297,-32.227,-27.344,0.000
1700209055.566,-61.035,-36.621,-21.484,-39.551,0.000
1700209055.570,-43.945,-43.457,-13.672,-26.855,0.000
1700209055.574,4.395,-35.156,-20.020,-12.695,0.000
1700209055.578,1.953,-38.086,-20.996,-15.137,0.000
1700209055.582,-39.551,-44.922,-17.578,-28.809,0.000
1700209055.586,-37.109,-43.945,-22.461,-30.762,0.000
1700209055.589,4.395,-30.762,-20.508,-6.836,0.000
1700209055.593,7.324,-24.414,-13.184,-18.555,0.000
1700209055.597,-49.805,-36.133,-15.625,-36.133,0.000
1700209055.601,-50.781,-35.156,-34.668,-20.996,0.000
1700209055.605,30.273,-22.949,-38.086,9.277,0.000
1700209055.609,27.832,-35.645,-16.113,6.836,0.000
1700209055.613,-33.691,-44.434,-13.672,-23.926,0.000
1700209055.617,-55.176,-37.598,-18.555,-28.320,0.000
1700209055.621,-17.090,-32.227,-16.602,-27.344,0.000
1700209055.625,13.184,-34.180,-20.020,-12.695,0.000
1700209055.628,-26.367,-39.062,-15.137,-24.414,0.000
1700209055.632,-66.895,-33.203,-18.555,-45.898,0.000
1700209055.636,-41.504,-28.809,-28.809,-41.992,0.000
1700209055.640,-15.137,-41.504,-31.738,-38.574,0.000
1700209055.644,-33.203,-62.500,-25.391,-37.109,0.000
1700209055.648,-44.922,-55.664,-21.973,-38.086,0.000
1700209055.652,-35.156,-45.898,-9.766,-33.691,0.000
1700209055.656,-7.324,-44.434,-6.348,-12.207,0.000
1700209055.660,19.043,-41.504,-19.043,8.301,0.000
1700209055.664,-20.020,-44.434,-19.043,-18.555,0.000
1700209055.668,-50.781,-38.574,-34.180,-57.129,0.000
1700209055.671,-12.207,-40.527,-41.992,-19.043,0.000
1700209055.675,-0.488,-53.223,-26.855,-4.395,0.000
1700209055.679,-41.016,-55.664,-4.395,-29.297,0.000
1700209055.683,-68.359,-33.203,-9.277,-31.738,0.000
1700209055.687,-30.273,-19.043,-24.902,-16.602,0.000
1700209055.691,3.418,-34.668,-18.066,-5.859,0.000
1700209055.695,-7.812,-39.551,-19.043,-19.043,0.000
1700209055.699,-39.551,-47.363,-20.508,-28.809,0.000
1700209055.703,-32.715,-42.480,1.465,-36.133,0.000
1700209055.707,14.160,-39.062,-15.625,-17.090,0.000
1700209055.710,-4.883,-54.199,-33.203,-13.672,0.000
