timestamps,TP9,AF7,AF8,TP10,Right AUX
1700204133.052,39.062,-34.180,-23.926,-51.758,0.000
1700204133.056,-223.633,-34.668,-29.785,-227.051,0.000
1700204133.060,-152.832,-34.180,-28.320,-60.547,0.000
1700204133.064,100.098,-33.203,-25.391,123.047,0.000
1700204133.067,96.680,-36.133,-29.785,0.000,0.000
1700204133.071,-173.340,-35.156,-29.297,-208.984,0.000
1700204133.075,-211.426,-38.574,-31.738,-127.930,0.000
1700204133.079,46.875,-37.598,-31.738,100.586,0.000
1700204133.083,123.047,-36.133,-26.855,57.129,0.000
1700204133.087,-85.938,-36.133,-27.344,-165.039,0.000
1700204133.091,-238.281,-36.133,-24.902,-190.918,0.000
1700204133.095,-20.020,-35.645,-22.949,46.875,0.000
1700204133.099,147.949,-30.762,-25.391,77.637,0.000
1700204133.103,4.395,-30.762,-25.879,-120.605,0.000
1700204133.107,-237.305,-33.691,-18.555,-235.352,0.000
1700204133.110,-78.613,-31.738,-21.484,-22.949,0.000
1700204133.114,150.879,-30.273,-28.320,109.863,0.000
1700204133.118,84.473,-33.691,-29.785,-35.156,0.000
1700204133.122,-184.082,-34.668,-27.832,-209.473,0.000
1700204133.126,-142.578,-32.715,-27.832,-68.848,0.000
1700204133.130,112.793,-31.738,-20.996,114.258,0.000
1700204133.134,129.883,-34.180,-19.043,22.949,0.000
1700204133.138,-125.488,-36.621,-22.461,-174.316,0.000
1700204133.142,-195.312,-34.180,-25.391,-139.160,0.000
1700204133.146,50.293,-33.691,-29.297,95.215,0.000
1700204133.149,146.973,-34.668,-26.855,82.520,0.000
1700204133.153,-50.293,-36.133,-24.414,-136.719,0.000
1700204133.157,-229.004,-38.086,-24.902,-194.336,0.000
1700204133.161,-26.367,-39.551,-25.391,44.922,0.000
1700204133.165,143.555,-40.527,-26.367,120.117,0.000
1700204133.169,13.672,-41.992,-28.809,-79.590,0.000
1700204133.173,-234.863,-43.945,-30.273,-223.633,0.000
1700204133.177,-112.305,-43.945,-27.344,-23.438,0.000
1700204133.181,118.652,-43.945,-24.902,124.023,0.000
1700204133.185,68.359,-44.922,-29.785,-18.555,0.000
1700204133.189,-197.754,-45.410,-29.297,-218.262,0.000
1700204133.192,-183.594,-48.340,-27.832,-107.422,0.000
1700204133.196,73.730,-45.410,-29.297,95.215,0.000
1700204133.200,117.188,-35.645,-30.762,21.484,0.000
1700204133.204,-117.676,-34.180,-36.133,-181.641,0.000
1700204133.208,-217.773,-33.691,-30.762,-151.367,0.000
1700204133.212,18.555,-33.691,-21.973,82.031,0.000
1700204133.216,135.742,-35.156,-28.320,82.520,0.000
1700204133.220,-48.340,-38.086,-35.156,-121.582,0.000
1700204133.224,-244.141,-41.016,-33.203,-203.125,0.000
1700204133.228,-53.711,-38.574,-23.926,38.086,0.000
1700204133.232,140.625,-32.715,-21.484,120.117,0.000
1700204133.235,32.227,-33.203,-22.949,-79.102,0.000
1700204133.239,-238.281,-37.598,-26.855,-237.793,0.000
1700204133.243,-136.230,-37.598,-26.855,-42.969,0.000
1700204133.247,119.629,-36.133,-25.879,133.789,0.000
1700204133.251,100.586,-34.668,-28.809,4.395,0.000
1700204133.255,-166.504,-37.109,-32.715,-195.801,0.000
1700204133.259,-180.664,-36.133,-32.227,-106.445,0.000
1700204133.263,82.520,-35.156,-29.297,106.445,0.000
1700204133.267,142.578,-38.574,-28.320,57.129,0.000
1700204133.271,-76.660,-40.039,-34.180,-148.438,0.000
